card_number,player,team,set_name,year,sport,category,insert_name,is_rookie,is_auto,is_mem,variations,var_images
331,Jose Abreu,Chicago White Sox,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
332,Wil Myers,San Diego Padres,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
333,Tejay Antone,Cincinnati Reds,2021 Topps Series 2,2021,baseball,Base,,True,False,False,[],{}
334,Brandon Lowe,Tampa Bay Rays,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
335,Ryan Weathers,San Diego Padres,2021 Topps Series 2,2021,baseball,Base,,True,False,False,[],{}
336,Victor Reyes,Detroit Tigers,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
337,Jarrod Dyson,Chicago White Sox,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
338,Christian Arroyo,Boston Red Sox,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
339,Willi Castro,Detroit Tigers,2021 Topps Series 2,2021,baseball,Base,,True,False,False,[],{}
340,Kendall Graveman,Seattle Mariners,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
341,Franmil Reyes,Cleveland Indians,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
342,Austin Romine,Chicago Cubs,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
343,Victor Robles,Washington Nationals,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
344,Kevin Kramer,Pittsburgh Pirates,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
345,Shed Long,Seattle Mariners,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
346,Jose Iglesias,Angels,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
347,Kenley Jansen,Los Angeles Dodgers,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
348,Jeff Mathis,Texas Rangers,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
349,Sean Murphy,Oakland Athletics,2021 Topps Series 2,2021,baseball,Base,,True,False,False,[],{}
350,DJ LeMahieu,New York Yankees,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
351,Keone Kela,Pittsburgh Pirates,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
352,Randal Grichuk,Toronto Blue Jays,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
353,Baseball is Fun!,Tampa Bay Rays,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
354,Michael Pineda,Minnesota Twins,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
355,Dustin May,Los Angeles Dodgers,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
356,Eddie Rosario,Cleveland Indians,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
357,Yu Darvish,San Diego Padres,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
358,Sherten Apostel,Texas Rangers,2021 Topps Series 2,2021,baseball,Base,,True,False,False,[],{}
359,Raimel Tapia,Colorado Rockies,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
360,Jose Ramirez,Cleveland Indians,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
361,James Karinchak,Cleveland Indians,2021 Topps Series 2,2021,baseball,Base,,False,False,False,[],{}
362,Garrett Crochet,Chicago White Sox,2021 Topps Series 2,2021,baseball,Base,,True,False,False,[],{}
